filename,period,style,multi_motif,motif_subject,artifact_source,cropped_from,source_url
4147.jpg,Co-Dai,line_art,false,BST Kiều Quang Chẩn,"Vang vọng từ trống Đông Sơn – Kiều Quang Chẩn & Trung tâm tiền sử Đông Nam Á. Nhà xuất bản Thế Giới, 2018.",,https://hoavandaiviet.vn/product/4147/
4342.jpg,Co-Dai,line_art,true,Trống Hoàng Hạ,Những Trống Đồng Đông Sơn Phát Hiện Ở Việt Nam – Nguyễn Văn Huyên – 1974,,https://hoavandaiviet.vn/product/4342/
4342_crop_1.jpg,Co-Dai,line_art,false,Trống Hoàng Hạ,Những Trống Đồng Đông Sơn Phát Hiện Ở Việt Nam – Nguyễn Văn Huyên – 1974,4342.jpg,https://hoavandaiviet.vn/product/4342/
4342_crop_2.jpg,Co-Dai,line_art,false,Trống Hoàng Hạ,Những Trống Đồng Đông Sơn Phát Hiện Ở Việt Nam – Nguyễn Văn Huyên – 1974,4342.jpg,https://hoavandaiviet.vn/product/4342/
4342_crop_3.jpg,Co-Dai,line_art,false,Trống Hoàng Hạ,Những Trống Đồng Đông Sơn Phát Hiện Ở Việt Nam – Nguyễn Văn Huyên – 1974,4342.jpg,https://hoavandaiviet.vn/product/4342/
4342_crop_4.jpg,Co-Dai,line_art,false,Trống Hoàng Hạ,Những Trống Đồng Đông Sơn Phát Hiện Ở Việt Nam – Nguyễn Văn Huyên – 1974,4342.jpg,https://hoavandaiviet.vn/product/4342/
vlhd-ds-hh-001.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,,https://hoavandaiviet.vn/product/vlhd-ds-hh-001/
vlhd-ds-hh-002.jpg,Co-Dai,line_art,true,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,,https://hoavandaiviet.vn/product/vlhd-ds-hh-002/
vlhd-ds-hh-002_crop_1.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-002.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-002/
vlhd-ds-hh-002_crop_2.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-002.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-002/
vlhd-ds-hh-002_crop_3.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-002.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-002/
vlhd-ds-hh-002_crop_4.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-002.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-002/
vlhd-ds-hh-002_crop_5.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-002.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-002/
vlhd-ds-hh-002_crop_6.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-002.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-002/
vlhd-ds-hh-003.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,,https://hoavandaiviet.vn/product/vlhd-ds-hh-003/
vlhd-ds-hh-004.jpg,Co-Dai,line_art,true,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,,https://hoavandaiviet.vn/product/vlhd-ds-hh-004/
vlhd-ds-hh-004_crop_1.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-004.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-004/
vlhd-ds-hh-004_crop_2.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-004.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-004/
vlhd-ds-hh-004_crop_3.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-004.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-004/
vlhd-ds-hh-005.jpg,Co-Dai,line_art,true,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,,https://hoavandaiviet.vn/product/vlhd-ds-hh-005/
vlhd-ds-hh-005_crop_1.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-005.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-005/
vlhd-ds-hh-005_crop_2.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-005.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-005/
vlhd-ds-hh-005_crop_3.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-005.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-005/
vlhd-ds-hh-005_crop_4.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ đồng.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-005.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-005/
vlhd-ds-hh-006.jpg,Co-Dai,line_art,true,Hoa văn hình học trên đồ gốm.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,,https://hoavandaiviet.vn/product/vlhd-ds-hh-006/
vlhd-ds-hh-006_crop_1.jpg,Co-Dai,line_art,false,Hoa văn hình học trên đồ gốm.,Từ Gốm Phùng Nguyên Đến Trống Đồng – Hà Văn Tấn. Tạp chí khảo cổ học số 13 – 1974.,vlhd-ds-hh-006.jpg,https://hoavandaiviet.vn/product/vlhd-ds-hh-006/
